,geometry,GCX_OID,Address,Legal Description,Legal Type,Folio,PID,Additional PIDs,Plan Number,Land Use Code,Zoning,Zoning Description,Garbage Zone,Approximate Site Area (m²),Street View
21290,Geocortex.Gis.Geometries.Polygon,293,1738 LAURIER AVE,"LOT 8, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20211",LAND,604560-000,002-236-435,No,20211,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,904.361328125,Click for Google StreetView
21291,Geocortex.Gis.Geometries.Polygon,298,1776 PATRICIA AVE,"LOT 166, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP27806",LAND,603042-000,002-396-319,No,27806,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,731.988525390625,Click for Google StreetView
21292,Geocortex.Gis.Geometries.Polygon,306,3282 WELLINGTON ST,"LOT B, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP17133, GROUP 1",LAND,608026-000,003-185-745,No,17133,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,547.214599609375,Click for Google StreetView
21293,Geocortex.Gis.Geometries.Polygon,312,1749 DORSET AVE,"LOT 19, BLOCK 2OFA, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20211",LAND,604582-000,000-762-288,No,20211,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,904.016845703125,Click for Google StreetView
21294,Geocortex.Gis.Geometries.Polygon,316,3544 KENNEDY ST,"LOT 5, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP19571, GROUP 1",LAND,602510-000,010-520-449,No,19571,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,695.9453125,Click for Google StreetView
21295,Geocortex.Gis.Geometries.Polygon,321,3278 LIVERPOOL ST,"LOT 80, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134",LAND,608042-080,012-503-053,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,367.888671875,Click for Google StreetView
21296,Geocortex.Gis.Geometries.Polygon,322,3436 WELLINGTON ST,"LOT 177, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP31164",LAND,605004-000,006-598-722,No,31164,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,670.3720703125,Click for Google StreetView
21297,Geocortex.Gis.Geometries.Polygon,325,1821 SALISBURY AVE,"LOT 161, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP26765",LAND,606052-000,000-487-406,No,26765,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1046.0,Click for Google StreetView
21300,Geocortex.Gis.Geometries.Polygon,333,3329 LIVERPOOL ST,"LOT 66, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134, GROUP 1",LAND,606523-000,004-744-977,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,371.731689453125,Click for Google StreetView
21301,Geocortex.Gis.Geometries.Polygon,334,1731 JENSEN AVE,"LOT 27, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP24070",LAND,603070-000,009-301-526,No,24070,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,731.9326171875,Click for Google StreetView
21303,Geocortex.Gis.Geometries.Polygon,341,1776 JENSEN AVE,"LOT 17, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20629",LAND,603016-000,008-913-773,No,20629,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,706.25048828125,Click for Google StreetView
21304,Geocortex.Gis.Geometries.Polygon,343,3468 LIVERPOOL ST,"LOT 101, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134",LAND,605034-101,000-727-539,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,378.79443359375,Click for Google StreetView
21305,Geocortex.Gis.Geometries.Polygon,349,1843 DORSET AVE,"LOT 34, BLOCK F, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167",LAND,604536-034,012-297-186,No,2167,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,541.951171875,Click for Google StreetView
21306,Geocortex.Gis.Geometries.Polygon,351,3463 LIVERPOOL ST,"LOT 50, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134",LAND,605018-050,012-502-944,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,373.49267578125,Click for Google StreetView
21307,Geocortex.Gis.Geometries.Polygon,352,3454 LIVERPOOL ST,"LOT S, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP17875",LAND,605028-000,010-308-598,No,17875,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,630.672119140625,Click for Google StreetView
21308,Geocortex.Gis.Geometries.Polygon,356,3426 LIVERPOOL ST,"LOT 93, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134, GROUP 1 & LOT 94, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134, GROUP 1",LAND,605026-000,012-503-088,Yes,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,378.796142578125,Click for Google StreetView
21309,Geocortex.Gis.Geometries.Polygon,357,3520 KENNEDY ST,"LOT 2, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP19571",LAND,602504-000,010-520-414,No,19571,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,603.084716796875,Click for Google StreetView
21310,Geocortex.Gis.Geometries.Polygon,359,3561 WELLINGTON ST,"LOT 172, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP27806",LAND,603054-000,001-169-815,No,27806,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,731.960693359375,Click for Google StreetView
21311,Geocortex.Gis.Geometries.Polygon,361,1844 DORSET AVE,"LOT 44, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP12212",LAND,606024-000,004-324-013,No,12212,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1082.0,Click for Google StreetView
21312,Geocortex.Gis.Geometries.Polygon,362,1769 SALISBURY AVE,"LOT 16, BLOCK B, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2006, PART W 1/2",LAND,606084-000,012-433-748,No,2006,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,542.0888671875,Click for Google StreetView
21313,Geocortex.Gis.Geometries.Polygon,366,1736 DORSET AVE,"LOT 10, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP18105",LAND,606066-000,010-334-840,No,18105,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,903.69921875,Click for Google StreetView
21314,Geocortex.Gis.Geometries.Polygon,367,3545 WELLINGTON ST,"LOT 11, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20064",LAND,603030-000,008-616-507,No,20064,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,637.544677734375,Click for Google StreetView
21315,Geocortex.Gis.Geometries.Polygon,376,3561 YORK ST,"LOT 197, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP32553",LAND,602532-000,006-746-942,No,32553,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,727.861328125,Click for Google StreetView
21319,Geocortex.Gis.Geometries.Polygon,384,1836 SALISBURY AVE,"LOT 21, BLOCK D, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167, GROUP 1",LAND,607522-021,012-549-690,No,2167,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,541.4443359375,Click for Google StreetView
21321,Geocortex.Gis.Geometries.Polygon,386,3327 LIVERPOOL ST,"LOT 67, BLOCK 3, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134",LAND,606523-001,004-744-985,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,371.7333984375,Click for Google StreetView
21322,Geocortex.Gis.Geometries.Polygon,387,1759 SALISBURY AVE,"LOT 20, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP18202",LAND,606082-000,010-337-946,No,18202,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,903.94091796875,Click for Google StreetView
21323,Geocortex.Gis.Geometries.Polygon,388,3350 WELLINGTON ST,"LOT 28, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134, GROUP 1",LAND,606506-001,007-473-664,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,372.077392578125,Click for Google StreetView
21324,Geocortex.Gis.Geometries.Polygon,389,1777 JENSEN AVE,"LOT 22, BLOCK R, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP24070",LAND,603060-000,007-793-928,No,24070,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,731.970947265625,Click for Google StreetView
21325,Geocortex.Gis.Geometries.Polygon,390,1768 PATRICIA AVE,"LOT 167, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP27806",LAND,603044-000,012-747-980,No,27806,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,731.9521484375,Click for Google StreetView
21326,Geocortex.Gis.Geometries.Polygon,392,1789 DORSET AVE,"LOT 244, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP53069, GROUP 1",LAND,604546-001,005-055-644,No,53069,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,821.904296875,Click for Google StreetView
21327,Geocortex.Gis.Geometries.Polygon,394,1730 LAURIER AVE,"LOT 9, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20211",LAND,604562-000,002-588-676,No,20211,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,904.14599609375,Click for Google StreetView
21328,Geocortex.Gis.Geometries.Polygon,395,3380 LIVERPOOL ST,"LOT 144, BLOCK 3, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP21572, GROUP 1",LAND,606532-000,002-813-751,No,21572,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,645.126708984375,Click for Google StreetView
21329,Geocortex.Gis.Geometries.Polygon,398,1768 LAURIER AVE,"LOT B, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN BCP45170, GROUP 1",LAND,604550-200,028-248-651,No,BCP45170,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,617.467041015625,Click for Google StreetView
21330,Geocortex.Gis.Geometries.Polygon,408,1825 DORSET AVE,"LOT 38, BLOCK F, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167",LAND,604540-038,012-550-329,No,2167,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,541.950927734375,Click for Google StreetView
21331,Geocortex.Gis.Geometries.Polygon,409,1757 DORSET AVE,"LOT 20, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20211",LAND,604584-000,008-694-044,No,20211,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,903.99853515625,Click for Google StreetView
21332,Geocortex.Gis.Geometries.Polygon,412,3373 LIVERPOOL ST,"LOT 59, BLOCK 3, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134",LAND,606516-059,012-503-037,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,371.7353515625,Click for Google StreetView
21333,Geocortex.Gis.Geometries.Polygon,421,3552 KENNEDY ST,"LOT 6, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP19571",LAND,602512-000,000-934-941,No,19571,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,696.085205078125,Click for Google StreetView
21334,Geocortex.Gis.Geometries.Polygon,423,1676 LAURIER AVE,"LOT 189, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP32267",LAND,605014-000,004-717-091,No,32267,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,558.033203125,Click for Google StreetView
21335,Geocortex.Gis.Geometries.Polygon,426,1736 SALISBURY AVE,"LOT 8, BLOCK C, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2006, GROUP 1",LAND,607560-000,000-934-119,No,2006,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1085.0,Click for Google StreetView
21336,Geocortex.Gis.Geometries.Polygon,434,3559 WELLINGTON ST,"LOT 28, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP24070",LAND,603072-000,005-066-239,No,24070,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,731.960693359375,Click for Google StreetView
21337,Geocortex.Gis.Geometries.Polygon,436,3628 WELLINGTON ST,"LOT 2, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20723, GROUP 1",LAND,601504-000,009-470-166,No,20723,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,781.571044921875,Click for Google StreetView
21339,Geocortex.Gis.Geometries.Polygon,446,3275 LIVERPOOL ST,"LOT V, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP19915, GROUP 1",LAND,608030-000,009-296-328,No,19915,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,541.7509765625,Click for Google StreetView
21340,Geocortex.Gis.Geometries.Polygon,447,3621 LIVERPOOL ST,"LOT 18, BLOCK M, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP21251",LAND,601536-000,010-341-668,No,21251,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,702.270751953125,Click for Google StreetView
21341,Geocortex.Gis.Geometries.Polygon,455,1837 DORSET AVE,"LOT 35, BLOCK F, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167",LAND,604538-001,003-747-344,No,2167,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,541.950927734375,Click for Google StreetView
21342,Geocortex.Gis.Geometries.Polygon,456,3528 KENNEDY ST,"LOT 3, BLOCK 15, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP19571",LAND,602506-000,007-235-950,No,19571,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,695.887939453125,Click for Google StreetView
21343,Geocortex.Gis.Geometries.Polygon,457,3446 LIVERPOOL ST,"LOT T, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP17875, GROUP 1",LAND,605030-000,010-308-601,No,17875,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,632.396484375,Click for Google StreetView
21344,Geocortex.Gis.Geometries.Polygon,461,1730 JENSEN AVE,"LOT 12, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20064",LAND,603032-000,000-582-361,No,20064,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,615.32421875,Click for Google StreetView
21346,Geocortex.Gis.Geometries.Polygon,469,1819 LAURIER AVE,"LOT 192, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP32501",LAND,602520-000,006-695-591,No,32501,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,735.498779296875,Click for Google StreetView
21347,Geocortex.Gis.Geometries.Polygon,472,1741 SALISBURY AVE,"LOT 12, BLOCK B, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2006",LAND,606079-000,012-433-721,No,2006,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1085.0,Click for Google StreetView
21348,Geocortex.Gis.Geometries.Polygon,473,3410 WELLINGTON ST,"LOT 35, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134, GROUP 1",LAND,605002-001,004-365-429,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,374.3359375,Click for Google StreetView
21352,Geocortex.Gis.Geometries.Polygon,479,3569 YORK ST,"LOT 198, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP32553",LAND,602534-000,006-746-951,No,32553,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,727.908935546875,Click for Google StreetView
21353,Geocortex.Gis.Geometries.Polygon,482,3334 WELLINGTON ST,"LOT 25, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134, GROUP 1",LAND,606502-002,011-110-139,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,371.469482421875,Click for Google StreetView
21354,Geocortex.Gis.Geometries.Polygon,486,1758 SALISBURY AVE,"LOT 5, BLOCK C, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2006, GROUP 1",LAND,607554-000,012-433-799,No,2006,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1085.0,Click for Google StreetView
21356,Geocortex.Gis.Geometries.Polygon,491,1752 LAURIER AVE,"LOT 6, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20211, GROUP 1",LAND,604556-000,008-693-943,No,20211,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,904.86669921875,Click for Google StreetView
21357,Geocortex.Gis.Geometries.Polygon,494,1846 LAURIER AVE,"LOT 18, BLOCK F, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167, GROUP 1",LAND,604519-000,012-550-141,No,2167,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,542.667724609375,Click for Google StreetView
21358,Geocortex.Gis.Geometries.Polygon,495,1792 PATRICIA AVE,"LOT 164, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP27806",LAND,603038-000,012-747-939,No,27806,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,739.0322265625,Click for Google StreetView
21359,Geocortex.Gis.Geometries.Polygon,499,1694 DORSET AVE,"LOT 133, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP17582",LAND,606508-000,010-289-615,No,17582,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,619.97265625,Click for Google StreetView
21360,Geocortex.Gis.Geometries.Polygon,512,3342 LIVERPOOL ST,"LOT 141, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP21572, GROUP 1",LAND,606526-000,005-168-716,No,21572,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,645.124755859375,Click for Google StreetView
21361,Geocortex.Gis.Geometries.Polygon,515,3359 LIVERPOOL ST,"LOT 139, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20319",LAND,606518-000,008-753-504,No,20319,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,557.582275390625,Click for Google StreetView
21362,Geocortex.Gis.Geometries.Polygon,519,1745 LAURIER AVE,"LOT 7, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20064",LAND,603022-000,008-616-451,No,20064,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,604.65966796875,Click for Google StreetView
21363,Geocortex.Gis.Geometries.Polygon,520,3243 LIVERPOOL ST,"LOT 74, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134",LAND,608034-074,007-787-481,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,361.50341796875,Click for Google StreetView
21364,Geocortex.Gis.Geometries.Polygon,521,3337 LIVERPOOL ST,"LOT 64, DISTRICT LOT 469, NEW WEST DISTRICT, PLAN NWP2134, GROUP 1",LAND,606522-064,002-174-251,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,371.7333984375,Click for Google StreetView
21365,Geocortex.Gis.Geometries.Polygon,524,1833 SALISBURY AVE,"LOT 159, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP26765, GROUP 1",LAND,606048-000,008-959-676,No,26765,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1049.0,Click for Google StreetView
21366,Geocortex.Gis.Geometries.Polygon,526,3365 WELLINGTON ST,"LOT 247, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP57346",LAND,606072-002,005-579-872,No,57346,No,RS2,RESIDENTIAL SINGLE DWELLING 2,1.0,494.96875,Click for Google StreetView
21367,Geocortex.Gis.Geometries.Polygon,528,1745 JENSEN AVE,"LOT 25, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP24070, GROUP 1",LAND,603066-000,009-301-496,No,24070,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,731.953125,Click for Google StreetView
21368,Geocortex.Gis.Geometries.Polygon,532,3476 WELLINGTON ST,"LOT 175, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP31164",LAND,605008-000,006-598-684,No,31164,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,670.3759765625,Click for Google StreetView
21369,Geocortex.Gis.Geometries.Polygon,533,1767 LAURIER AVE,"LOT 4, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP19501, GROUP 1",LAND,603008-000,008-144-885,No,19501,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,693.13427734375,Click for Google StreetView
21370,Geocortex.Gis.Geometries.Polygon,536,1845 SALISBURY AVE,"LOT 33, BLOCK E, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167, GROUP 1",LAND,606044-033,012-151-807,No,2167,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,541.224365234375,Click for Google StreetView
21371,Geocortex.Gis.Geometries.Polygon,537,1820 DORSET AVE,"LOT D, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP19938, GROUP 1",LAND,606034-000,010-584-722,No,19938,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,809.536865234375,Click for Google StreetView
21372,Geocortex.Gis.Geometries.Polygon,541,3622 LIVERPOOL ST,"LOT 21, BLOCK M, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP21251",LAND,601538-000,010-341-706,No,21251,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,702.298583984375,Click for Google StreetView
21373,Geocortex.Gis.Geometries.Polygon,547,1655 DORSET AVE,"LOT 56, BLOCK 3, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134",LAND,605024-056,007-501-781,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,373.490966796875,Click for Google StreetView
21374,Geocortex.Gis.Geometries.Polygon,559,1717 DORSET AVE,"LOT 2, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN BCP50079, GROUP 1",LAND,604574-002,028-760-689,No,BCP50079,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,351.771484375,Click for Google StreetView
21376,Geocortex.Gis.Geometries.Polygon,561,1752 DORSET AVE,"LOT 8, BLOCK B/2, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP18105",LAND,606064-000,004-628-331,No,18105,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,903.74462890625,Click for Google StreetView
21377,Geocortex.Gis.Geometries.Polygon,562,3469 LIVERPOOL ST,"LOT 49, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134, GROUP 1",LAND,605018-049,012-502-936,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,373.493896484375,Click for Google StreetView
21378,Geocortex.Gis.Geometries.Polygon,563,3266 LIVERPOOL ST,"LOT 137, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP18428",LAND,608038-000,010-368-027,No,18428,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,612.51416015625,Click for Google StreetView
21379,Geocortex.Gis.Geometries.Polygon,565,3545 YORK ST,"LOT 195, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP32553",LAND,602528-000,006-746-926,No,32553,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,727.8017578125,Click for Google StreetView
21380,Geocortex.Gis.Geometries.Polygon,570,1844 SALISBURY AVE,"LOT 19, BLOCK D, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167",LAND,607520-019,012-549-673,No,2167,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,541.390625,Click for Google StreetView
21381,Geocortex.Gis.Geometries.Polygon,578,1816 LAURIER AVE,"LOT 25, BLOCK F, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167 & LOT 26, BLOCK F, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167",LAND,604528-000,012-550-264,Yes,2167,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,543.18212890625,Click for Google StreetView
21382,Geocortex.Gis.Geometries.Polygon,579,1783 LAURIER AVE,"LOT 1, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN LMP6332",LAND,603002-001,017-916-917,No,LMP6332,No,RS2,RESIDENTIAL SINGLE DWELLING 2,1.0,467.291259765625,Click for Google StreetView
21383,Geocortex.Gis.Geometries.Polygon,582,1744 LAURIER AVE,"LOT 7, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20211",LAND,604558-000,001-739-921,No,20211,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,904.632080078125,Click for Google StreetView
21385,Geocortex.Gis.Geometries.Polygon,586,1838 LAURIER AVE,"LOT 20, BLOCK F, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2167, GROUP 1",LAND,604520-001,012-550-175,Yes,2167,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,542.839111328125,Click for Google StreetView
21386,Geocortex.Gis.Geometries.Polygon,590,1752 SALISBURY AVE,"LOT 6, BLOCK C, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2006",LAND,607556-000,002-229-111,No,2006,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1085.0,Click for Google StreetView
21387,Geocortex.Gis.Geometries.Polygon,593,1747 SALISBURY AVE,"LOT 13, BLOCK B, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2006, GROUP 1",LAND,606080-000,012-433-730,No,2006,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1084.0,Click for Google StreetView
21388,Geocortex.Gis.Geometries.Polygon,601,3378 WELLINGTON ST,"LOT 134, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP17582",LAND,606510-000,010-289-631,No,17582,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,620.64111328125,Click for Google StreetView
21389,Geocortex.Gis.Geometries.Polygon,602,1781 SALISBURY AVE,"LOT 17, BLOCK B, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2006",LAND,606085-000,012-433-756,No,2006,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,1084.0,Click for Google StreetView
21390,Geocortex.Gis.Geometries.Polygon,607,1780 LAURIER AVE,"LOT 2, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20211, GROUP 1",LAND,604548-000,004-709-501,No,20211,No,RS4,RESIDENTIAL SINGLE DWELLING 4,1.0,1236.0,Click for Google StreetView
21391,Geocortex.Gis.Geometries.Polygon,608,3286 LIVERPOOL ST,"LOT 81, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP2134",LAND,608042-081,012-503-061,No,2134,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,378.01953125,Click for Google StreetView
21392,Geocortex.Gis.Geometries.Polygon,611,1737 LAURIER AVE,"LOT 8, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP20064",LAND,603024-000,008-616-469,No,20064,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,602.59521484375,Click for Google StreetView
21393,Geocortex.Gis.Geometries.Polygon,613,3356 LIVERPOOL ST,"LOT 142, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP21572",LAND,606528-000,008-156-638,No,21572,No,RS1,RESIDENTIAL SINGLE DWELLING 1,2.0,645.125244140625,Click for Google StreetView
21394,Geocortex.Gis.Geometries.Polygon,616,1793 JENSEN AVE,"LOT 20, DISTRICT LOT 479, NEW WEST DISTRICT, PLAN NWP24070",LAND,603056-000,009-301-445,No,24070,No,RS1,RESIDENTIAL SINGLE DWELLING 1,1.0,734.080078125,Click for Google StreetView
